45
2
0
5
300
8
8
8
16
9
-1.0,-1.0,-0.875,-1.0,-0.75,-1.0,-0.625,-1.0,-0.5,-1.0,-0.375,-1.0,-0.25,-1.0,-0.125,-1.0,0.0,-1.0,0.125,-1.0,0.25,-1.0,0.375,-1.0,0.5,-1.0,0.625,-1.0,0.75,-1.0,0.875,-1.0,1.0,-1.0,-1.0,-0.875,-0.875,-0.875,-0.75,-0.875,-0.625,-0.875,-0.5,-0.875,-0.375,-0.875,-0.25,-0.875,-0.125,-0.875,0.0,-0.875,0.125,-0.875,0.25,-0.875,0.375,-0.875,0.5,-0.875,0.625,-0.875,0.75,-0.875,0.875,-0.875,1.0,-0.875,-1.0,-0.75,-0.875,-0.75,-0.75,-0.75,-0.625,-0.75,-0.5,-0.75,-0.375,-0.75,-0.25,-0.75,-0.125,-0.75,0.0,-0.75,0.125,-0.75,0.25,-0.75,0.375,-0.75,0.5,-0.75,0.625,-0.75,0.75,-0.75,0.875,-0.75,1.0,-0.75,-1.0,-0.625,-0.875,-0.625,-0.75,-0.625,-0.625,-0.625,-0.5,-0.625,-0.375,-0.625,-0.25,-0.625,-0.125,-0.625,0.0,-0.625,0.125,-0.625,0.25,-0.625,0.375,-0.625,0.5,-0.625,0.625,-0.625,0.75,-0.625,0.875,-0.625,1.0,-0.625,-1.0,-0.5,-0.875,-0.5,-0.75,-0.5,-0.625,-0.5,-0.5,-0.5,-0.375,-0.5,-0.25,-0.5,-0.125,-0.5,0.0,-0.5,0.125,-0.5,0.25,-0.5,0.375,-0.5,0.5,-0.5,0.625,-0.5,0.75,-0.5,0.875,-0.5,1.0,-0.5,-1.0,-0.375,-0.875,-0.375,-0.75,-0.375,-0.625,-0.375,-0.5,-0.375,-0.375,-0.375,-0.25,-0.375,-0.125,-0.375,0.0,-0.375,0.125,-0.375,0.25,-0.375,0.375,-0.375,0.5,-0.375,0.625,-0.375,0.75,-0.375,0.875,-0.375,1.0,-0.375,-1.0,-0.25,-0.875,-0.25,-0.75,-0.25,-0.625,-0.25,-0.5,-0.25,-0.375,-0.25,-0.25,-0.25,-0.125,-0.25,0.0,-0.25,0.125,-0.25,0.25,-0.25,0.375,-0.25,0.5,-0.25,0.625,-0.25,0.75,-0.25,0.875,-0.25,1.0,-0.25,-1.0,-0.125,-0.875,-0.125,-0.75,-0.125,-0.625,-0.125,-0.5,-0.125,-0.375,-0.125,-0.25,-0.125,-0.125,-0.125,0.0,-0.125,0.125,-0.125,0.25,-0.125,0.375,-0.125,0.5,-0.125,0.625,-0.125,0.75,-0.125,0.875,-0.125,1.0,-0.125,-1.0,0.0,-0.875,0.0,-0.75,0.0,-0.625,0.0,-0.5,0.0,-0.375,0.0,-0.25,0.0,-0.125,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.375,0.0,0.5,0.0,0.625,0.0,0.75,0.0,0.875,0.0,1.0,0.0,-1.0,0.125,-0.875,0.125,-0.75,0.125,-0.625,0.125,-0.5,0.125,-0.375,0.125,-0.25,0.125,-0.125,0.125,0.0,0.125,0.125,0.125,0.25,0.125,0.375,0.125,0.5,0.125,0.625,0.125,0.75,0.125,0.875,0.125,1.0,0.125,-1.0,0.25,-0.875,0.25,-0.75,0.25,-0.625,0.25,-0.5,0.25,-0.375,0.25,-0.25,0.25,-0.125,0.25,0.0,0.25,0.125,0.25,0.25,0.25,0.375,0.25,0.5,0.25,0.625,0.25,0.75,0.25,0.875,0.25,1.0,0.25,-1.0,0.375,-0.875,0.375,-0.75,0.375,-0.625,0.375,-0.5,0.375,-0.375,0.375,-0.25,0.375,-0.125,0.375,0.0,0.375,0.125,0.375,0.25,0.375,0.375,0.375,0.5,0.375,0.625,0.375,0.75,0.375,0.875,0.375,1.0,0.375,-1.0,0.5,-0.875,0.5,-0.75,0.5,-0.625,0.5,-0.5,0.5,-0.375,0.5,-0.25,0.5,-0.125,0.5,0.0,0.5,0.125,0.5,0.25,0.5,0.375,0.5,0.5,0.5,0.625,0.5,0.75,0.5,0.875,0.5,1.0,0.5,-1.0,0.625,-0.875,0.625,-0.75,0.625,-0.625,0.625,-0.5,0.625,-0.375,0.625,-0.25,0.625,-0.125,0.625,0.0,0.625,0.125,0.625,0.25,0.625,0.375,0.625,0.5,0.625,0.625,0.625,0.75,0.625,0.875,0.625,1.0,0.625,-1.0,0.75,-0.875,0.75,-0.75,0.75,-0.625,0.75,-0.5,0.75,-0.375,0.75,-0.25,0.75,-0.125,0.75,0.0,0.75,0.125,0.75,0.25,0.75,0.375,0.75,0.5,0.75,0.625,0.75,0.75,0.75,0.875,0.75,1.0,0.75,-1.0,0.875,-0.875,0.875,-0.75,0.875,-0.625,0.875,-0.5,0.875,-0.375,0.875,-0.25,0.875,-0.125,0.875,0.0,0.875,0.125,0.875,0.25,0.875,0.375,0.875,0.5,0.875,0.625,0.875,0.75,0.875,0.875,0.875,1.0,0.875,-1.0,1.0,-0.875,1.0,-0.75,1.0,-0.625,1.0,-0.5,1.0,-0.375,1.0,-0.25,1.0,-0.125,1.0,0.0,1.0,0.125,1.0,0.25,1.0,0.375,1.0,0.5,1.0,0.625,1.0,0.75,1.0,0.875,1.0,1.0,1.0
152,169,186
186,203,220
220,237,254
254,271,288
288,287,286
286,285,284
284,283,282
282,281,280
136,119,102
102,85,68
68,51,34
34,17,0
0,1,2
2,3,4
4,5,6
6,7,8
8,9,10
10,11,12
12,13,14
14,15,16
16,33,50
50,67,84
84,101,118
118,135,152
153,320,170,320,187,320,204,320,221,320,238,320,255,320,272,320,273,320,274,320,275,320,276,320,277,320,278,320,279,320
